ItemStatus,BorrowerCategory,TotalLoans,Year
3,68,1,2015
3,91,0,2015
5,21,1,2015
5,39,1,2015
5,91,0,2015
9,91,0,2015
10,19,1,2015
10,49,1,2015
10,91,0,2015
21,11,17,2015
21,19,25,2015
21,21,9,2015
21,31,191,2015
21,38,1,2015
21,39,80,2015
21,41,42,2015
21,49,88,2015
21,63,61,2015
21,65,6,2015
21,68,396,2015
21,91,0,2015
22,11,59,2015
22,12,2,2015
22,19,42,2015
22,21,8,2015
22,29,6,2015
22,31,76,2015
22,38,1,2015
22,39,191,2015
22,41,149,2015
22,49,472,2015
22,60,1,2015
22,63,57,2015
22,65,4,2015
22,68,54,2015
22,91,0,2015
23,11,7,2015
23,21,3,2015
23,39,3,2015
23,41,15,2015
23,49,99,2015
23,68,3,2015
24,11,6,2015
24,19,24,2015
24,31,6,2015
24,39,1,2015
24,49,6,2015
24,68,1,2015
31,11,5,2015
31,19,1,2015
31,21,3,2015
31,31,83,2015
31,39,131,2015
31,41,524,2015
31,49,463,2015
31,63,3,2015
31,68,4,2015
36,11,89,2015
36,19,74,2015
36,21,35,2015
36,29,95,2015
36,31,30,2015
36,39,60,2015
36,41,430,2015
36,49,294,2015
36,73,7,2015
37,91,0,2015
38,11,6,2015
38,19,1,2015
38,41,1,2015
38,49,3,2015
50,21,1,2015
50,31,1,2015
50,49,31,2015
52,11,10,2015
52,19,10,2015
52,21,4,2015
52,31,9,2015
52,39,161,2015
52,41,1469,2015
52,49,2266,2015
53,11,36,2015
53,19,2,2015
53,21,9,2015
53,31,29,2015
53,39,242,2015
53,41,2779,2015
53,49,1226,2015
53,73,8,2015
53,91,4,2015
54,39,1,2015
54,41,5,2015
54,49,2,2015
57,91,0,2015
