Date,Month,Day,Year,Patron,University,Program
5/16/13,5,16,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/16/13,5,16,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/16/13,5,16,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/16/13,5,16,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/16/13,5,16,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/16/13,5,16,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/16/13,5,16,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/16/13,5,16,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/16/13,5,16,2013,Undergrad,University of Maryland at College Park (UMCP),Psychology
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Computer & Information Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Psychology
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/15/13,5,15,2013,Student's Family,Other,Other
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Information Management
5/15/13,5,15,2013,Grad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/15/13,5,15,2013,Undergrad,University of Baltimore (UB),Simulation & Digital Entertainment
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/15/13,5,15,2013,Grad,University of Maryland at College Park (UMCP),Education
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore (UMB),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/15/13,5,15,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore County (UMBC),Other
5/15/13,5,15,2013,Grad,University of Maryland at Baltimore County (UMBC),Other
5/15/13,5,15,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Information Management
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Other
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Social Work
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/14/13,5,14,2013,Grad,"University of Maryland, University College (UMUC)",Computer & Information Science
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore County (UMBC),Psychology
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Social Sciences
5/14/13,5,14,2013,Grad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Psychology
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Grad,University of Maryland at College Park (UMCP),Education
5/14/13,5,14,2013,Faculty,"University of Maryland, University College (UMUC)",Computer & Information Science
5/14/13,5,14,2013,Student's Family,Other,Other
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Criminology & Criminal Justice
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Social Sciences
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/14/13,5,14,2013,Grad,Bowie State University,Other
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Engineering
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Biological Sciences
5/14/13,5,14,2013,Undergrad,University of Maryland at Baltimore County (UMBC),Political Science
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/14/13,5,14,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Grad,University of Maryland at College Park (UMCP),Business
5/14/13,5,14,2013,Undergrad,University of Maryland at College Park (UMCP),Education
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Communication
5/13/13,5,13,2013,Undergrad,"University of Maryland, University College (UMUC)",Information Management
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Public Health Science
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Undergrad,University of Maryland at College Park (UMCP),Business
5/13/13,5,13,2013,Grad,University of Maryland at Baltimore (UMB),Pharmacy
